#Parameters = {d=0; H=1.6; IL=10.7; IW=0.2; L=37.93; LS=75.85; ML=14.31; MT=0.035; MW=2.5; W=28.61; WS=57.23; k=6.26}
#"Frequency / GHz"	"S2,1 (d=0) [Magnitude / dB]"
#-----------------------------------------------
3.2520000934601	-46.098999185899
3.2560000419617	-46.020523122608
3.2599999904633	-45.963489759862
3.2639999389648	-45.927332531730
3.2679998874664	-45.911366308295
3.2720000743866	-45.914753956538
3.2760000228882	-45.936471300506
3.2799999713898	-45.975251972644
3.2839999198914	-46.029526979383
3.2880001068115	-46.097354109051
3.2920000553131	-46.176346260205
3.2960000038147	-46.263585838223
3.2999999523163	-46.355551041794
3.3039999008179	-46.448052616408
3.3080000877380	-46.536229050453
3.3120000362396	-46.614559371016
3.3159999847412	-46.677001754774
3.3199999332428	-46.717213308311
3.3239998817444	-46.728896123993
3.3280000686646	-46.706248839832
3.3320000171661	-46.644473903920
3.3359999656677	-46.540246399596
3.3399999141693	-46.392094396768
3.3440001010895	-46.200555351053
3.3480000495911	-45.968100103541
3.3519999980927	-45.698839637352
3.3559999465942	-45.398075066229
3.3599998950958	-45.071789798640
3.3640000820160	-44.726169445316
3.3680000305176	-44.367211924624
3.3719999790192	-44.000458034080
3.3759999275208	-43.630817668402
3.3800001144409	-43.262515175972
3.3840000629425	-42.899081086797
3.3880000114441	-42.543400446166
3.3919999599457	-42.197781431275
3.3959999084473	-41.864029545802
3.4000000953674	-41.543521958132
3.4040000438690	-41.237281076447
3.4079999923706	-40.946035434160
3.4119999408722	-40.670260050598
3.4159998893738	-40.410235972250
3.4200000762939	-40.166064351119
3.4240000247955	-39.937704185214
3.4279999732971	-39.724976637219
3.4319999217987	-39.527582246008
3.4360001087189	-39.345110499838
3.4400000572205	-39.177026386230
3.4440000057220	-39.022678946061
3.4479999542236	-38.881283098962
3.4519999027252	-38.751917927427
3.4560000896454	-38.633501172561
3.4600000381470	-38.524783474705
3.4639999866486	-38.424328966732
3.4679999351501	-38.330500126469
3.4719998836517	-38.241446574407
3.4760000705719	-38.155099754934
3.4800000190735	-38.069176256059
3.4839999675751	-37.981196914558
3.4879999160767	-37.888513906795
3.4920001029968	-37.788369963296
3.4960000514984	-37.677963363118
3.5000000000000	-37.554548732419
3.5039999485016	-37.415539591586
3.5079998970032	-37.258641415820
3.5120000839233	-37.081961240319
3.5160000324249	-36.884120659433
3.5199999809265	-36.664334276097
3.5239999294281	-36.422462990528
3.5280001163483	-36.159004025558
3.5320000648499	-35.875059358410
3.5360000133514	-35.572251908602
3.5399999618530	-35.252621479225
3.5439999103546	-34.918501270552
3.5480000972748	-34.572402425182
3.5520000457764	-34.216896737865
3.5559999942780	-33.854517734042
3.5599999427795	-33.487695213970
3.5639998912811	-33.118693836871
3.5680000782013	-32.749576513257
3.5720000267029	-32.382196766077
3.5759999752045	-32.018181472804
3.5799999237061	-31.658946928223
3.5840001106262	-31.305704429313
3.5880000591278	-30.959474070216
3.5920000076294	-30.621110323344
