#Parameters = {H=1.6; IL=10.7; IW=0.2; L=37.93; LS=75.85; ML=14.31; MT=0.035; MW=2.5; W=28.61; WS=57.23; k=6.26}
#"Frequency / GHz"	"S1,1 [Magnitude / dB]"
#-----------------------------------------
2.2799999713898	-1.9065742068211
2.2839999198914	-1.9528088034739
2.2880001068115	-2.0017610927401
2.2920000553131	-2.0542650598202
2.2960000038147	-2.1112254639034
2.2999999523163	-2.1736059068791
2.3039999008179	-2.2424264129218
2.3080000877380	-2.3187589981272
2.3120000362396	-2.4037184807200
2.3159999847412	-2.4984677277010
2.3199999332428	-2.6042141097088
2.3239998817444	-2.7222118069354
2.3280000686646	-2.8537680871835
2.3320000171661	-3.0002476437065
2.3359999656677	-3.1630842686995
2.3399999141693	-3.3437940467989
2.3440001010895	-3.5439896846411
2.3480000495911	-3.7654055790758
2.3519999980927	-4.0099177455052
2.3559999465942	-4.2795807135076
2.3599998950958	-4.5766677682013
2.3640000820160	-4.9037196846677
2.3680000305176	-5.2636152663519
2.3719999790192	-5.6596498451320
2.3759999275208	-6.0956541411328
2.3800001144409	-6.5761324082373
2.3840000629425	-7.1064673061486
2.3880000114441	-7.6931915499352
2.3919999599457	-8.3443635639229
2.3959999084473	-9.0701164414823
2.4000000953674	-9.8834664119693
2.4040000438690	-10.801522177726
2.4079999923706	-11.847389585178
2.4119999408722	-13.053245926668
2.4159998893738	-14.465504398759
2.4200000762939	-16.153630987707
2.4240000247955	-18.224650232862
2.4279999732971	-20.837823322098
2.4319999217987	-24.120326846681
2.4360001087189	-27.119902247589
2.4400000572205	-26.137420414543
2.4440000057220	-22.752892080878
2.4479999542236	-19.794283267015
2.4519999027252	-17.476699745190
2.4560000896454	-15.627307492841
2.4600000381470	-14.108970945237
2.4639999866486	-12.832295489631
2.4679999351501	-11.738632987013
2.4719998836517	-10.788133962733
2.4760000705719	-9.9527064212508
2.4800000190735	-9.2118755881594
2.4839999675751	-8.5502836259555
2.4879999160767	-7.9561151322491
2.4920001029968	-7.4200827907767
2.4960000514984	-6.9347457354954
2.5000000000000	-6.4940389080209
2.5039999485016	-6.0929462354874
2.5079998970032	-5.7272569063535
2.5120000839233	-5.3933965748700
2.5160000324249	-5.0882943559043
2.5199999809265	-4.8092811195097
2.5239999294281	-4.5540123630849
2.5280001163483	-4.3204168755725
2.5320000648499	-4.1066339432640
2.5360000133514	-3.9109951578627
2.5399999618530	-3.7319757872297
2.5439999103546	-3.5681853679866
2.5480000972748	-3.4183391716700
2.5520000457764	-3.2812504061977
2.5559999942780	-3.1558106965339
2.5599999427795	-3.0409834545667
2.5639998912811	-2.9357987160299
2.5680000782013	-2.8393458522520
2.5720000267029	-2.7507687579257
2.5759999752045	-2.6692643083301
2.5799999237061	-2.5940824238746
2.5840001106262	-2.5245210674338
2.5880000591278	-2.4599276954027
2.5920000076294	-2.3997055093167
2.5959999561310	-2.3433024039586
